,ncbi,organism,pubmed
60,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000021125.1_ASM2112v1,ecf,http://www.ncbi.nlm.nih.gov/pubmed/22135463
116,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000520055.1_ASM52005v1,ecoh,http://www.ncbi.nlm.nih.gov/pubmed/24410921
222,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000020185.1_ASM2018v1,sbc,
287,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001277175.1_ASM127717v1,cui,http://www.ncbi.nlm.nih.gov/pubmed/27013041
288,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001277195.1_ASM127719v1,cmw,http://www.ncbi.nlm.nih.gov/pubmed/27013041
324,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000027085.1_ASM2708v1,cro,http://www.ncbi.nlm.nih.gov/pubmed/19897651
325,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000648515.1_ASM64851v1,cfd,
326,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000981805.1_ASM98180v1,cama,http://www.ncbi.nlm.nih.gov/pubmed/26210290
344,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000020865.1_ASM2086v1,etr,http://www.ncbi.nlm.nih.gov/pubmed/19865481
429,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000146265.2_ASM14626v2,aat,http://www.ncbi.nlm.nih.gov/pubmed/19820097
430,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000241025.2_ASM24102v2,aao,http://www.ncbi.nlm.nih.gov/pubmed/22408240
438,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000019765.1_ASM1976v1,xfn,http://www.ncbi.nlm.nih.gov/pubmed/20601474
439,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000148405.1_ASM14840v1,xff,
440,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000698825.1_ASM69882v1,xfl,
441,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000698805.1_ASM69880v1,xfs,
442,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000012105.1_ASM1210v1,xcb,http://www.ncbi.nlm.nih.gov/pubmed/15899963
