,ncbi,organism,pubmed
0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000002315.3_Gallus_gallus-4.0,Birds,/dbget-bin/www_bfind?T01006
1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000455745.1_ASM45574v1,Reptiles,/dbget-bin/www_bfind?T02922
2,ftp://ftp.ncbi.nlm.nih.gov/refseq/release/vertebrate_other/,Amphibians,/dbget-bin/www_bfind?T01010
3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000002035.5_GRCz10,Fishes,/dbget-bin/www_bfind?T01004
4,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000165045.1_Callorhinchus_milii-6.1.3,Cartilaginous fishes,/dbget-bin/www_bfind?T03088
5,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000003815.1_Version_2,Lancelets,/dbget-bin/www_bfind?T01074
6,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000224145.2_KH,Ascidians,/dbget-bin/www_bfind?T01056
7,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000002235.4_Spur_4.2,Echinoderms,/dbget-bin/www_bfind?T01019
8,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000003605.2_Skow_1.1,Hemichordates,/dbget-bin/www_bfind?T04123
9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000208615.1_JCVI_ISG_i3_1.0,Mites and ticks,/dbget-bin/www_bfind?T01131
10,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000002985.6_WBcel235,Nematodes,/dbget-bin/www_bfind?T00019
11,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000326865.1_Helobdella_robusta_v1.0,Annelids,/dbget-bin/www_bfind?T03272
12,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000327385.1_Helro1,Mollusks,/dbget-bin/www_bfind?T03273
13,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000237925.2_ASM23792v2,Flatworms,/dbget-bin/www_bfind?T01095
14,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000209225.1_ASM20922v1,Cnidarians,/dbget-bin/www_bfind?T01037
15,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000150275.1_v1.0,Placozoans,/dbget-bin/www_bfind?T01069
16,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000090795.1_v1.0,Poriferans,/dbget-bin/www_bfind?T02284
17,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000463585.1_ASM46358v1,Caper family,/dbget-bin/www_bfind?T04125
18,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000317415.1_Csi_valencia_1.0,Rue family,/dbget-bin/www_bfind?T02983
19,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000208745.1_ASM20874v1,Mallow family,/dbget-bin/www_bfind?T02994
20,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000612305.1_Egrandis1_0,Myrtle family,/dbget-bin/www_bfind?T03547
21,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000004515.4_Glycine_max_v2.0,Pea family,/dbget-bin/www_bfind?T01710
22,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000184155.1_FraVesHawaii_1.0,Rose family,/dbget-bin/www_bfind?T02666
23,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000004075.2_ASM407v2,Cucumber family,/dbget-bin/www_bfind?T02486
24,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000151685.1_JCVI_RCG_1.1,Spurge family,/dbget-bin/www_bfind?T01087
25,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000002775.3_Poptr2_0,Willow family,/dbget-bin/www_bfind?T01077
26,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000003745.3_12X,Grape family,/dbget-bin/www_bfind?T01084
27,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000188115.3_SL2.50,Nightshade family,/dbget-bin/www_bfind?T02665
28,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000512975.1_S_indicum_v1.0,Sesame family,/dbget-bin/www_bfind?T04135
29,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000511025.1_RefBeet-1.2.1,Amaranth family,/dbget-bin/www_bfind?T03548
30,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000365185.1_Chinese_Lotus_1.1,Lotus family,/dbget-bin/www_bfind?T04131
31,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000413155.1_DPV01,Palm family,/dbget-bin/www_bfind?T03274
32,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000313855.1_ASM31385v1,Banana family,/dbget-bin/www_bfind?T03447
33,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000143415.3_v1.0,Ferns,/dbget-bin/www_bfind?T01496
