,ncbi,organism,pubmed
53,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000006665.1_ASM666v1,ece,http://www.ncbi.nlm.nih.gov/pubmed/11206551
54,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000008865.1_ASM886v1,ecs,http://www.ncbi.nlm.nih.gov/pubmed/11258796
56,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000022225.1_ASM2222v1,etw,http://www.ncbi.nlm.nih.gov/pubmed/19564389
57,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000262125.1_ASM26212v1,elx,http://www.ncbi.nlm.nih.gov/pubmed/22558360
60,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000010745.1_ASM1074v1,eoh,http://www.ncbi.nlm.nih.gov/pubmed/19815525
63,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000245515.1_ASM24551v1,elr,http://www.ncbi.nlm.nih.gov/pubmed/22328665
64,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000007445.1_ASM744v1,ecc,http://www.ncbi.nlm.nih.gov/pubmed/12471157
65,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000013305.1_ASM1330v1,ecp,http://www.ncbi.nlm.nih.gov/pubmed/16879640
66,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000013265.1_ASM1326v1,eci,http://www.ncbi.nlm.nih.gov/pubmed/16585510
67,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000014845.1_ASM1484v1,ecv,http://www.ncbi.nlm.nih.gov/pubmed/17293413
68,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000017765.1_ASM1776v1,ecx,http://www.ncbi.nlm.nih.gov/pubmed/18676672
69,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000017745.1_ASM1774v1,ecw,http://www.ncbi.nlm.nih.gov/pubmed/18676672
71,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000010385.1_ASM1038v1,ecy,http://www.ncbi.nlm.nih.gov/pubmed/18931093
72,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000026265.1_ASM2626v1,ecr,http://www.ncbi.nlm.nih.gov/pubmed/19165319
73,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000026305.1_ASM2630v1,ecq,http://www.ncbi.nlm.nih.gov/pubmed/19165319
74,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000026245.1_ASM2624v1,eck,http://www.ncbi.nlm.nih.gov/pubmed/19165319
77,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000026325.1_ASM2632v1,eum,http://www.ncbi.nlm.nih.gov/pubmed/19165319
78,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000026285.1_ASM2628v1,ecz,http://www.ncbi.nlm.nih.gov/pubmed/19165319
79,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000027125.1_ASM2712v1,elo,http://www.ncbi.nlm.nih.gov/pubmed/20098708
80,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000183345.1_ASM18334v1,eln,http://www.ncbi.nlm.nih.gov/pubmed/21108814
82,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000010485.1_ASM1048v1,ese,http://www.ncbi.nlm.nih.gov/pubmed/20008064
83,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000299475.1_ASM29947v1,eso,http://www.ncbi.nlm.nih.gov/pubmed/23133618
84,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000299255.1_ASM29925v1,esm,http://www.ncbi.nlm.nih.gov/pubmed/23133618
85,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000299455.1_ASM29945v1,esl,http://www.ncbi.nlm.nih.gov/pubmed/23133618
89,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000147855.3_ASM14785v3,eko,
90,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000258025.1_ASM25802v1,ekf,http://www.ncbi.nlm.nih.gov/pubmed/22075923
91,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000148365.1_ASM14836v1,eab,http://www.ncbi.nlm.nih.gov/pubmed/20865122
94,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000025745.1_ASM2574v1,eih,http://www.ncbi.nlm.nih.gov/pubmed/20439758
95,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000214765.2_ASM21476v2,ena,http://www.ncbi.nlm.nih.gov/pubmed/21685291
96,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000148605.1_ASM14860v1,elu,http://www.ncbi.nlm.nih.gov/pubmed/21075930
97,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000212715.2_ASM21271v2,eun,http://www.ncbi.nlm.nih.gov/pubmed/22081385
98,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000184185.1_ASM18418v1,elw,http://www.ncbi.nlm.nih.gov/pubmed/21208457
99,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000258145.1_ASM25814v1,ell,http://www.ncbi.nlm.nih.gov/pubmed/22075923
100,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000233895.1_ASM23389v1,elc,http://www.ncbi.nlm.nih.gov/pubmed/22046404
