PROTEIN,TYPE,GENE
K11891,ECE,Z0250
K11891,ECS,ECs0218
K11891,ETW,ECSP_0223
K11891,ELX,CDCO157_0216
K11891,EOJ,ECO26_0220
K11891,EOH,ECO103_0215 ECO103_3368
K11891,EOK,G2583_0227
K11891,ELR,ECO55CA74_01065
K11891,ECC,c3398
K11891,ECP,ECP_0226 ECP_2814
K11891,ECI,UTI89_C0239 UTI89_C3204
K11891,ECV,APECO1_1770(aec30) APECO1_3705
K11891,ECX,EcHS_A0226
K11891,ECW,EcE24377A_0228
K11891,ECY,ECSE_0216
K11891,ECR,ECIAI1_0229
K11891,ECQ,ECED1_0227
K11891,ECK,EC55989_0220 EC55989_3284 EC55989_3325
K11891,EUM,ECUMN_0216
K11891,ECZ,ECS88_0234 ECS88_3097
K11891,ELO,EC042_0212 EC042_4539 EC042_4576
K11891,ELN,NRG857_01090 NRG857_13845
K11891,ESE,ECSF_2619
K11891,ESO,O3O_04900 O3O_21215
K11891,ESM,O3M_04475 O3M_20380
K11891,ESL,O3K_04430 O3K_20480
K11891,EKO,EKO11_0940 EKO11_3702
K11891,EKF,KO11_01050 KO11_08815
K11891,EAB,ECABU_c31010
K11891,EIH,ECOK1_0223 ECOK1_3204
K11891,ENA,ECNA114_2867
K11891,ELU,UM146_02430 UM146_16225
K11891,EUN,UMNK88_228 UMNK88_229
K11891,ELW,ECW_m0219(etsI) ECW_m3042
K11891,ELL,WFL_01050 WFL_14845
K11891,ELC,i14_3119
K11891,ELD,i02_3119
K11891,ELF,LF82_015 LF82_438
K11891,ECOL,LY180_01085 LY180_14385
K11891,ECOI,ECOPMV1_00228 ECOPMV1_03088
K11891,ECOJ,P423_15485 P423_15500
K11891,EFE,EFER_1964
K11891,SENT,TY21A_13085 TY21A_13090
K11891,STM,STM0285
K11891,SEO,STM14_0333
K11891,SEV,STMMW_02901
K11891,SEY,SL1344_0280(sciS)
K11891,SEM,STMDT12_C02800
K11891,SEJ,STMUK_0288
K11891,SEB,STM474_0297(sciS)
K11891,SEF,UMN798_0309(sciS)
K11891,SETU,STU288_13320
K11891,SETC,CFSAN001921_15980
K11891,SEEN,SE451236_07440
K11891,SENR,STMDT2_02811(sciS)
K11891,SEND,DT104_02841(sciS)
K11891,SENI,CY43_01425
K11891,SPT,SPA2479
K11891,SEK,SSPA2314
K11891,SEI,SPC_0293
K11891,SEC,SC0278
K11891,SEH,SeHA_C0323(icmF)
K11891,SHB,SU5_0927
K11891,SENH,CFSAN002069_07715
K11891,SEEH,SEEH1578_10520
K11891,SEE,SNSL254_A0311(icmF)
K11891,SENN,SN31241_12750
K11891,SEW,SeSA_A0318(icmF)
K11891,SEA,SeAg_B1099(icmF)
K11891,SENS,Q786_05100 Q786_05120
K11891,SED,SeD_A0306 SeD_A1218
K11891,SEG,SG1031
K11891,SEL,SPUL_1916
K11891,SEGA,SPUCDC_1902
